Degree,frequency
1,23373
2,197207
3,16288
4,5548
5,10310
6,10123
7,6427
8,4107
9,2482
10,1426
11,930
12,541
13,377
14,320
15,234
16,146
17,61
18,71
19,140
20,76
21,42
22,30
23,32
24,12
25,7
26,23
27,20
28,9
29,20
31,1
32,29
34,1
35,22
36,3
38,29
39,1
40,2
41,21
42,2
43,1
45,2
46,2
50,1
51,1
