n.id,numberOfConnectedEdges
"""CEPT1""",244
"""KCNK4""",554
"""LINC02322""",1
"""KCTD19""",857
"""ELMO1-AS1""",1
"""PTPN1""",283
"""LINC01078""",1
"""C4orf51""",233
"""TM4SF20""",212
"""BRAP""",456
"""PATE3""",77
"""C1QC""",250
"""TNFRSF10D""",427
"""LINC02870""",1
"""OR5F1""",467
"""LY75""",1592
"""SNORD107""",1
"""AACSP1""",2
"""BTBD17""",442
"""PIAS2""",571
"""KPNA4""",322
"""ATP13A2""",1291
"""DYNLT2B""",152
"""LMNA""",1115
"""DUX4""",126
"""SOD2""",375
"""SUSD6""",267
"""AMY1A""",130
"""HOXD1""",383
"""MIR550A3""",1
"""RNFT2""",407
"""ALDH1A3-AS1""",3
"""SPRR2B""",94
"""WASH4P""",1
"""PPIAL4H""",88
"""MIR3919""",1
"""TMEFF2""",333
"""BCL2L13""",569
"""HYLS1""",288
"""MYOPARR""",1
"""NEURL3""",283
"""GPN2""",345
"""GTF3C2-AS1""",1
"""FOXF2""",374
"""OR5B17""",400
"""SLC13A4""",488
"""SNORA60""",1
"""CSNK1A1L""",354
"""CD101""",963
"""SCAT8""",1
"""LINC01878""",2
"""LINC00102""",1
"""TAS2R50""",297
"""MAST1""",1190
"""KMT2D""",5064
"""KDM5B""",1482
"""NXPE4""",584
"""MIR5688""",1
"""IMPA2""",349
"""DNAJC1""",527
"""GLDC""",1325
"""LINC02578""",1
"""KCNH8""",1053
"""SMCHD1""",1457
"""CPNE7""",945
"""LY96""",159
"""SNORA20""",1
"""KRTAP20-4""",40
"""LINC00431""",1
"""MED1""",1213
"""ARHGEF10""",1691
"""TAT""",428
"""IFI16""",779
"""TRAJ49""",22
"""MYO18B-AS1""",1
"""OR6J1""",289
"""OR56A3""",348
"""MIMT1""",1
"""C9orf47""",7
"""CT62""",3
"""OSTM1-AS1""",1
"""ZNF17""",647
"""LINC01311""",1
"""CHMP4C""",234
"""SOX3""",310
"""FGF13""",251
"""WDR18""",464
"""ZGLP1""",241
"""LCN10""",254
"""HPS4""",867
"""FBLIM1""",485
"""PCDHGA9""",928
"""SRSF3""",100
"""GAR1""",213
"""IGKV1-13""",1
"""CD52""",56
"""LINC02104""",1
"""EP400""",2393
"""KIF18B""",814
"""TPTEP1""",1
"""ID4""",186
"""AQP4""",386
"""GTF2IP4""",1
"""LINC01808""",4
"""LINC02369""",1
"""CHD6""",2083
"""ATXN10""",510
"""MIR548S""",1
"""SLC17A6""",599
"""FGF8""",253
"""FOXI3""",349
"""SBK1""",389
"""VSTM2B-DT""",1
"""ZNF552""",395
"""C16orf95""",315
"""MC4R""",407
"""PLCG1""",949
"""MIR6826""",1
"""PCLO""",5644
"""CSNK1G2-AS1""",2
"""ARHGEF4""",1794
"""VGLL4""",405
"""SNORD8""",1
"""SNX30""",389
"""ANGPTL2""",440
"""DAZAP2""",236
"""LINC02757""",4
"""ALMS1-IT1""",1
"""NPY5R""",444
"""RASGRF1""",918
"""LINC01778""",1
"""IGLV3-22""",183
"""LRFN5""",738
"""HNRNPKP3""",1
"""EME2""",533
"""MAP3K1""",1307
"""PACC1""",386
"""FCGRT""",376
"""MIR670HG""",1
"""C6orf120""",232
"""IGLL1""",278
"""MIR5190""",1
"""TET3""",1470
"""PEX19""",357
"""MORC2""",780
"""EIF3H""",417
"""FOXH1""",489
"""SRRM5""",678
"""BCAR3-AS1""",1
"""R3HDM1""",979
"""MIR145""",1
"""MXRA5""",2454
"""UHRF1BP1L""",1262
"""PAK6""",667
"""SNORD103A""",1
"""GLI3""",1799
"""ELOF1""",183
"""MIR3197""",1
"""WDR11""",958
"""FAM187B""",361
"""PNMA8B""",660
"""OR12D3""",293
"""PRDX6""",161
"""KCNJ8""",279
"""MIR12133""",1
"""MIR1269A""",1
"""LINC01181""",1
"""PVRIG2P""",1
"""WHAMM""",793
"""GPAT3""",422
"""LINC00297""",1
"""PITX3""",302
"""LINC00205""",1
"""LINC01473""",1
"""ZSCAN21""",550
"""ARMCX4""",1249
"""BHLHE41""",452
"""LINC00607""",1
"""AQR""",1053
"""LCE1B""",174
"""ZC2HC1C""",482
"""CD2AP""",560
"""MIR4774""",1
"""CHPF""",772
"""LAT2""",253
"""GRPR""",239
"""NPAS2-AS1""",1
"""LINC01033""",1
"""MIR23AHG""",1
"""ALG1L9P""",3
"""NUP62""",533
"""LRRC8E""",793
"""CTAGE9""",627
"""GGA2""",656
"""GUSBP10""",1
"""VAC14-AS1""",1
"""TNNT2""",581
"""PWAR4""",1
"""MLANA""",135
"""MISP""",874
"""CAMTA2-AS1""",1
"""MIR508""",1
"""NEU2""",445
"""USP3""",437
"""MIR578""",1
"""SPRY4""",346
"""TMEM52""",357
"""ZNF891""",402
"""SNRNP27""",132
"""OXCT2P1""",1
"""GDF5-AS1""",2
"""OR2T7""",5
"""PTGER4P2-CDK2AP2P2""",2
"""GPR1-AS""",1
"""ZNF833P""",2
"""EI24""",297
"""PPWD1""",562
"""RPS16P5""",1
"""CSRNP2""",413
"""SEMA3C""",718
"""SNORD3D""",1
"""LINC02817""",1
"""SDHAF4""",116
"""TAF11L7""",129
"""COX6B2""",110
"""P2RY13""",339
"""MIR6503""",1
"""KLHL12""",421
"""MIR4421""",1
"""TRIM35""",550
"""HCAR1""",365
"""WDR47""",662
"""SNRK-AS1""",1
"""MST1L""",4
"""FAM241B""",180
"""AUH""",357
"""HROB""",569
"""SOBP""",838
"""SETDB2""",533
"""CPA1""",438
"""MEIG1""",109
"""KRTAP10-3""",308
"""L1CAM""",867
"""LYZ""",144
"""SHLD2P3""",3
"""IFI30""",258
"""PRR25""",3
"""SNORD83B""",1
"""ZBED8""",531
"""RPL28""",446
"""CD46""",399
"""ANKRD34C-AS1""",1
"""PCDHB1""",779
"""TBC1D14""",655
"""LINC02247""",1
"""MZT2A""",243
"""LINC00570""",1
"""GNA14""",389
"""FAM169B""",2
"""PRDM15""",1101
"""MIR211""",1
"""PAPPA-AS1""",2
"""ITGA8""",1177
"""DKC1""",276
"""SLC23A2""",398
"""PRICKLE2-AS1""",1
"""TRIB2""",301
"""OR7A5""",330
"""RAB11FIP4""",563
"""CYBRD1""",335
"""METTL2A""",353
"""SNORD170""",1
"""BEX5""",101
"""MIR1243""",1
"""MAL""",168
"""RAP2C-AS1""",1
"""MLH1""",1657
"""PDS5B""",881
"""SNORA20B""",1
"""MMP23A""",1
"""AIRN""",2
"""ANKRD46""",153
"""MIR3677""",1
"""LECT2""",210
"""MIR1537""",1
"""MPP3""",535
"""DOC2A""",431
"""FBXO46""",532
"""RAPSN""",461
"""KCNIP1""",304
"""KLHDC1""",429
"""MT-CO2""",1
"""GLMN""",496
"""GREB1L""",1189
"""IQCH-AS1""",5
"""ABCG2""",725
"""U2AF1L4""",377
"""JMJD6""",429
"""GAS1RR""",1
"""ZNF471""",653
"""SGO2""",1087
"""MIR3159""",1
"""TRBV5-6""",151
"""GON7""",111
"""TMEM185B""",277
"""CEBPB-AS1""",1
"""LINC01821""",1
"""SOAT2""",556
"""DIAPH1-AS1""",1
"""ZNF85""",779
"""IGHV3-21""",415
"""GNL1""",465
"""MPHOSPH8""",788
"""LINC02388""",1
"""KCNN1""",555
"""DUX1""",1
"""GCSH""",222
"""SNORD105B""",1
"""XPO6""",818
"""PRC1""",660
"""GASAL1""",1
"""RPL18""",211
"""CCDC144A""",1097
"""MFSD1""",594
"""GOLGA8B""",288
"""OR10C1""",280
"""MOG""",334
"""C21orf62""",236
"""GABRA1""",468
"""SLC25A47""",374
"""MIR7108""",1
"""MIR101-2""",1
"""FAM197Y8""",1
"""CARD19""",293
"""ZDHHC7""",318
"""KRT4""",587
"""ENOSF1""",661
"""TRIM44""",322
"""BRD2""",1040
"""DDX54""",936
"""MRAP2""",224
"""UGT1A1""",571
"""TUBB6""",448
"""FILNC1""",3
"""EDRF1-AS1""",1
"""LINC00378""",1
"""ACTR3B""",295
"""WFDC2""",184
"""EPPIN""",173
"""ARMC7""",277
"""ZPLD1""",487
"""MIR4423""",1
"""SYN1""",417
"""HOXB13""",626
"""TTC4""",352
"""TTTY17B""",1
"""CT45A10""",148
"""BMP8A""",345
"""MIR1323""",1
"""SLC25A20""",313
"""HGF""",748
"""NDEL1""",365
"""SLC22A6""",614
"""AK9""",1658
"""POLA1""",843
"""ITCH""",594
"""CATIP-AS2""",1
"""CLCN6""",888
"""CFAP58-DT""",1
"""PLPP5""",302
"""SCP2D1-AS1""",3
"""VSTM2A""",397
"""H3C10""",3
"""TTTY12""",2
"""EFL1""",900
"""AGPAT1""",156
"""NCMAP-DT""",1
"""DEFA4""",185
"""LINC00609""",1
"""KIR3DL2""",1636
"""MIR148A""",1
"""ESPNP""",1
"""ZSCAN16""",294
"""NEDD8""",31
"""SLC28A1""",785
"""LINC01521""",1
"""ATPSCKMT""",322
"""KDM5C""",828
"""TMEM132C""",1055
"""CD300LD""",174
"""EPOP""",300
"""MRGPRD""",328
"""RPL13""",311
"""PKD2""",885
"""ROPN1B""",242
"""CSNK1A1""",227
"""CTSLP8""",1
"""MIR877""",1
"""PAPOLB""",663
"""LEAP2""",82
"""FAM43B""",306
"""ADH1A""",368
"""MIR3130-2""",1
"""MID1IP1-AS1""",1
"""MIR3668""",1
"""FBLN2""",1387
"""MAN1B1-DT""",1
"""NEUROD6""",305
"""TANK-AS1""",3
"""IL22""",175
"""OXT""",120
"""MIR609""",1
"""SLC26A5""",704
"""ANKHD1""",1436
"""LINC02315""",2
"""SLC3A2""",634
"""PXN""",1174
"""LAMP5""",333
"""MIA""",144
"""YTHDF1""",494
"""HSP90AB1""",579
"""ZNF581""",200
"""ITLN1""",343
"""MIR3681HG""",3
"""LINC02786""",3
"""SLC17A5""",447
"""SNTG1""",705
"""ARSD""",476
"""TMEM200B""",331
"""TSPAN32""",522
"""MSI2""",397
"""LINC02404""",3
"""SULT2A1""",278
"""FAM218A""",2
"""HSBP1""",139
"""CCDC57""",1306
"""MLLT6""",947
"""LINC00408""",1
"""GRIPAP1""",452
"""UNC79""",2041
"""OR7E12P""",1
"""ECHDC3""",367
"""MIR1184-2""",1
"""TMEM265""",95
"""PRNT""",4
"""PIGR""",694
"""PRRT3""",952
"""ALPP""",663
"""SCGB2B3P""",1
"""COL8A2""",625
"""TSGA13""",306
"""PLEKHB2""",472
"""CARD10""",942
"""NDUFB8""",224
"""GAST""",113
"""SPDYE11""",10
"""CROCC2""",1516
"""OR52A4P""",1
"""MIR6126""",1
"""SLC15A1""",681
"""GTSF1L""",152
"""ZNF816-ZNF321P""",212
"""S100A12""",104
"""REELD1""",336
"""HOXA10""",567
"""MIR1285-2""",1
"""IREB2""",708
"""HERC2P9""",1
"""LINC01043""",1
"""SH3PXD2B""",927
"""KRTAP4-8""",279
"""TM4SF1-AS1""",3
"""CREG1""",199
"""SLC39A14""",451
"""HMGA2-AS1""",3
"""MTUS2""",1456
"""ENOX1""",587
"""DHRS13""",365
"""CHST2""",535
"""NDST3""",706
"""OPCML""",374
"""LINC01940""",1
"""CCNJ""",270
"""CLIP3""",357
"""ARFGEF1-DT""",2
"""HLA-DRB5""",718
"""MTARC1""",374
"""GTF2A1""",244
"""LINC01427""",1
"""TRAV16""",126
"""LINC00557""",1
"""ZMYM4""",963
"""MYADM""",385
"""FKBP7""",230
"""HK3""",1060
"""NME2P1""",1
"""LINC00907""",5
"""SLC38A9""",506
"""SNORA32""",1
"""MIR4754""",1
"""DIS3""",928
"""LINC00708""",1
"""SCARNA22""",1
"""TOMM40L""",255
"""FABP6""",192
"""GRAMD2A""",350
"""MIR8062""",1
"""FXYD5""",329
"""FLACC1""",434
"""AIFM3""",661
"""OVCH1""",1187
"""PIWIL2""",999
"""LINC01249""",1
"""OMA1""",482
"""MED9""",126
"""LRIT3""",636
"""PAPOLA""",485
"""TRBV30""",125
"""ABCB9""",856
"""ADCY5""",1337
"""CKLF""",143
"""ALDH2""",486
"""HMG20B""",490
"""PRICKLE2-AS2""",1
"""ARMT1""",401
"""OR14K1""",345
"""SKIV2L""",1081
"""NCKAP5-AS1""",1
"""NDN""",320
"""LINC00844""",1
"""MRAP-AS1""",1
"""LINC01782""",1
"""ERVK-9""",8
"""SNORD78""",1
"""IRX4-AS1""",1
"""MS4A6E""",204
"""DHDH""",413
"""SIRPB3P""",1
"""EIF5B""",839
"""MCCD1""",125
"""AK6""",147
"""MNX1-AS2""",1
"""CTAGE1""",976
"""FOXN3-AS2""",1
"""PTCHD3""",11
"""ZNF735""",555
"""WFIKKN1""",686
"""IL5""",140
"""PTGIR""",503
"""MIR410""",1
"""PLIN2""",491
"""BAIAP2L2""",621
"""MYL2""",254
"""MIR3622B""",1
"""TFAP2A-AS2""",1
"""KLF13""",231
"""GAGE10""",125
"""DCAF8""",469
"""OR8H2""",459
"""GLOD5""",143
"""KIF16B""",1615
"""SNORD28""",1
"""UCP1""",328
"""DDX11L1""",2
"""ACE2""",471
"""BEX3""",88
"""HOXA4""",392
"""FAM138D""",1
"""SPIN1""",114
"""LINC01795""",1
"""PTPN21""",1267
"""HFM1""",1349
"""AKAIN1""",75
"""RXFP1""",758
"""CD3E""",186
"""CFAP46""",2612
"""PPP3R1""",45
"""GFI1""",401
"""MIR662""",1
"""PPP1R26-AS1""",1
"""NCAM1""",1014
"""CACHD1""",1091
"""CCDC146""",850
"""SEMA4B""",933
"""IL1A""",237
"""CCDC88A""",1618
"""CHN2""",612
"""HCCAT5""",1
"""LINC02640""",1
"""SYNGR4""",265
"""RTL9""",1138
"""MIR1306""",1
"""GNAT1""",345
"""LINC00290""",1
"""C1orf56""",2
"""CCDC113""",407
"""LINC02798""",1
"""LINC01239""",1
"""RNF216""",1076
"""CYP4F8""",578
"""FBXL18""",1014
"""SNORD115-33""",1
"""OR4S1""",434
"""LZTS2""",637
"""SPDYE12P""",2
"""FGD3""",695
"""C16orf95-DT""",1
"""MIR5572""",1
"""HMGA1P7""",1
"""MIR320C1""",1
"""PCGF5""",149
"""LINC01796""",1
"""CALCOCO2""",457
"""FAM133DP""",1
"""DPP9-AS1""",1
"""RHBDL3""",467
"""GRTP1""",512
"""MIR488""",1
"""CCL24""",118
"""ANKRD12""",1760
"""SFXN3""",322
"""RXYLT1""",437
"""C3orf35""",12
"""SLX1A""",33
"""TRBC2""",221
"""FTH1P19""",1
"""KRT8P41""",1
"""MEF2C""",453
"""OR2T34""",447
"""SMG5""",902
"""GBP7""",652
"""MIR4271""",1
"""ZFP36L2""",687
"""C1orf116""",11
"""ALAS1""",566
"""C12orf4""",451
"""LRFN2""",863
"""LINC02123""",1
"""NTN5""",500
"""RBX1""",42
"""INO80""",890
"""LINC01449""",1
"""LINS1""",798
"""TMEM63B""",533
"""LINC01144""",1
"""METTL1""",310
"""FIZ1""",474
"""LINC02289""",1
"""EMC10""",493
"""TRAJ1""",20
"""G3BP2""",367
"""ASB8""",263
"""PCNX3""",1805
"""C9orf40""",173
"""NRXN2""",1572
"""FAM168B""",198
"""SATB1""",544
"""CYLC2""",506
"""RPP40""",356
"""KYAT3""",411
"""MIR1471""",1
"""CARNMT1-AS1""",1
"""C1QTNF7-AS1""",1
"""LINC00538""",1
"""SNORD49A""",1
"""DNAJC16""",700
"""SHLD3""",173
"""RELN""",3277
"""TCIM""",107
"""DDX20""",727
"""LINC01629""",1
"""POMGNT1""",770
"""SHISA9""",433
"""LINC01322""",1
"""TXNDC17""",124
"""PWP2""",768
"""FAM156A""",61
"""HLA-V""",1
"""GOLGA6L17P""",1
"""KIR3DL1""",772
"""LINC01609""",1
"""MRPS14""",160
"""GNG12""",55
"""LINC02327""",9
"""DOCK4-AS1""",1
"""STX19""",299
"""LINC01742""",1
"""COA7""",211
"""NRF1""",243
"""MIR6746""",1
"""RAB43""",202
"""TCP11""",545
"""CAMP""",158
"""SYT13""",437
"""CECR9""",1
"""LINC01492""",1
"""MIR23A""",1
"""MIR197""",1
"""CUL2""",464
"""SNORD62A""",1
"""NPTN-IT1""",1
"""NNT-AS1""",1
"""LINC01451""",1
"""USP37""",694
"""ADGRA1-AS1""",1
"""FIGLA""",222
"""PHACTR2""",584
"""CRYAA2""",58
"""LINC01150""",1
"""ZNRF2P2""",1
"""ADRM1""",383
"""MDM4""",424
"""FOXP4""",700
"""ABHD12""",701
"""PRSS50""",369
"""RPL38""",41
"""LINC00951""",1
"""MIR548AA2""",1
"""FAM98A""",534
"""MX2""",658
"""MYOZ1""",277
"""LINC02164""",2
"""SLC9A7P1""",1
"""LINC01875""",1
"""ACP4""",458
"""CCDC13-AS1""",1
"""DAZL""",313
"""SETD4-AS1""",3
"""GTF2H2""",186
"""UBE2Q1-AS1""",1
"""KRTAP13-2""",225
"""CLEC4GP1""",1
"""CACNG3""",257
"""OR6W1P""",1
"""MRPL30""",151
"""OR4C11""",342
"""TBKBP1""",604
"""SNX17""",469
"""ZNF536""",1556
"""EDEM2""",464
"""MIR98""",1
"""ADORA3""",305
"""ARHGEF18""",1238
"""STX16""",308
"""NFAT5""",1072
"""SLCO1B1""",812
"""HIPK1""",943
"""TET2""",1956
"""DMRT2""",744
"""POU3F1""",295
"""FAM71F2""",338
"""SOCS6""",463
"""HPCAL4""",175
"""ANKRD20A8P""",4
"""LINC00603""",1
"""GPATCH2""",491
"""OAS2""",759
"""TRPM7""",1217
"""SLIRP""",218
"""SNORD31""",1
"""PROB1""",925
"""INSYN1""",251
"""KRT35""",503
"""FLG""",8166
"""METRNL""",287
"""SLC26A1""",846
"""SRL""",914
"""TTLL8""",910
"""GSG1L""",388
"""CEP57L1""",490
"""KLF5""",362
"""MIR3142""",1
"""MIR8086""",1
"""LINC02046""",1
"""MIR4453HG""",1
"""DRAIC""",1
"""CLK1""",510
"""GSK3B""",479
"""MMP3""",525
"""RNF149""",385
"""RASAL3""",1017
"""MRC2""",1308
"""APCDD1L-DT""",1
"""DRC7""",937
"""MCTS1""",80
"""MIR7-3""",1
"""SUCO""",1270
"""RASGRP3-AS1""",1
"""ZNF830""",321
"""ACTC1""",293
"""APOH""",388
"""LINC02564""",2
"""CYP3A7-CYP3A51P""",417
"""IGDCC4""",1199
"""UBAC1""",384
"""CCN6""",400
"""MBD3L4""",45
"""RND2""",219
"""RMDN3""",542
"""KATNBL1""",287
"""EFCAB6-DT""",1
"""AK3""",326
"""MIR3941""",1
"""MYCLP1""",1
"""MYADM-AS1""",1
"""CLSTN1""",901
"""MYSM1""",682
"""OR8G2P""",2
"""DUT""",284
"""MIR297""",1
"""SMIM22""",193
"""ZNF566-AS1""",1
"""APTR""",4
"""FAM214B""",502
"""DCAF16""",226
"""LCE6A""",84
"""MS4A5""",224
"""OR5B2""",376
"""PSORS1C2""",135
"""PSG2""",598
"""SLC12A9""",834
"""METTL23""",279
"""OGFOD3""",476
"""LINC00547""",1
"""MIR3183""",1
"""IGLC3""",181
"""PABPC1L""",727
"""C12orf43""",279
"""LINC02754""",6
"""ZNF385D""",621
"""BLK""",709
"""ADD2""",717
"""NDUFA13""",327
"""ZNF771""",253
"""HNRNPC""",265
"""ELSPBP1""",244
"""GAGE5""",1
"""MORN4""",171
"""MIR3609""",1
"""WASH5P""",1
"""RIMBP3""",1239
"""LINC00411""",1
"""USE1""",285
"""AKR1A1""",336
"""SMTNL1""",501
"""GCHFR""",99
"""TMX2""",338
"""TRAPPC6A""",245
"""CFAP298-TCP10L""",474
"""PIN4""",209
"""P2RY10""",262
"""MIR1976""",1
"""FAM106B""",2
"""CEP162""",1342
"""ADGRL1-AS1""",1
"""TRAJ31""",23
"""MIR545""",1
"""IQCE""",1040
"""ALDH1A2""",507
"""TUBA3FP""",1
"""CHD1L""",1079
"""C6orf223""",6
"""TRIM25""",551
"""GSC-DT""",1
"""TSPAN4""",321
"""AASDHPPT""",310
"""RGS18""",263
"""SALL2""",1068
"""MCC""",1246
"""PTPRN2-AS1""",1
"""DNM1P35""",1
"""SNORD88C""",1
"""USP17L12""",65
"""DPY19L1P1""",1
"""H1-10-AS1""",2
"""OR5H1""",453
"""USP33""",737
"""EIF3B""",763
"""GID8""",127
"""IGLV5-45""",418
"""CDC27P11""",1
"""RIPOR1""",1125
"""GTF2IP20""",1
"""ACTG1P25""",1
"""MIR129-1""",1
"""CTSLP2""",1
"""BDNF""",277
"""OR9K2""",416
"""PITHD1""",149
"""TYW3""",274
"""BSPRY""",422
"""CXCL10""",96
"""APOBEC3B""",545
"""LINC01347""",1
"""CCDC38""",575
"""IWS1""",692
"""ANAPC1P4""",1
"""FBXW12""",455
"""MIR8485""",1
"""PPY""",160
"""FRMD6""",623
"""S100A7A""",152
"""TSPYL2""",539
"""PPIAL4G""",203
"""SMR3A""",189
"""CCDC102A""",563
"""XAF1""",458
"""FAM25C""",89
"""TPR""",1805
"""CPNE5""",509
"""MIR3934""",1
"""ZFP90""",599
"""METTL27""",297
"""MIR548AJ2""",1
"""SPATA41""",2
"""CD19""",512
"""EXOC6B""",680
"""YWHAG""",129
"""TGFBR1""",458
"""EVC""",1175
"""LINC02743""",1
"""MIR147A""",1
"""MXD4""",325
"""RAMAC""",128
"""FKBP9P1""",5
"""GAS5-AS1""",1
"""CTSL3P""",2
"""SNORA114""",1
"""SLC8A3""",1050
"""UVRAG-DT""",1
"""CP""",1055
"""LNCPRESS1""",1
"""IQCF4P""",3
"""STK35""",391
"""CDK6-AS1""",3
"""ARNT""",649
"""MNX1""",513
"""GUCY2GP""",1
"""LINC01018""",2
"""PPM1N""",589
"""CACNB4""",751
"""SAMD4B""",592
"""ODC1""",372
"""POM121L2""",868
"""SNAP23""",254
"""LINC02257""",1
"""FMR1NB""",237
"""ILDR1""",666
"""MACROD2-IT1""",1
"""PCDHGA1""",1029
"""ACAA1""",438
"""PPCDC""",210
"""LINC01283""",4
"""IP6K2""",556
"""ARIH2""",336
"""ZSCAN5B""",615
"""ILF3""",848
"""AAK1""",997
"""MIR555""",1
"""FBXW8""",620
"""SPANXN1""",91
"""MIR6812""",1
"""DPM2""",136
"""EPHB3""",817
"""CHEK2P2""",1
"""MADCAM1""",425
"""LIMK1""",592
"""ATP2B4""",1034
"""UGT1A7""",604
"""GPR34""",203
"""NARS1""",497
"""TMEM109""",215
"""OR51A2""",345
"""MIR6777""",1
"""MIR302F""",1
"""OR10J3""",434
"""DCT""",645
"""CXCR2P1""",1
"""OVOL3""",225
"""TRGJP1""",15
"""CCDC183""",607
"""SNORD13C""",1
"""KIF26A-DT""",1
"""TMTC4""",783
"""NKX2-8""",274
"""DCLRE1C""",772
"""KRTAP10-9""",394
"""LINC01697""",2
"""LDHB""",296
"""MIR6090""",1
"""CRY2""",502
"""OSER1""",233
"""NUP43""",377
"""NBPF6""",242
"""C7orf61""",218
"""EXTL3-AS1""",1
"""TRAJ18""",19
"""DHX57""",1409
"""RPS15""",178
"""SEPTIN9-DT""",1
"""PFN4""",138
"""ANKRD60""",330
"""ERVS71-1""",1
"""EGR4""",675
"""POTEF""",1060
"""SGTB""",181
"""LINC02645""",1
"""ARHGAP15-AS1""",3
"""LINC00498""",8
"""NEGR1""",294
"""TMPRSS9""",1261
"""CELSR2""",2671
"""NIBAN2""",730
"""GPR62""",366
"""HSD17B13""",276
"""AQP12A""",305
"""PPIC""",209
"""ZMYM2""",961
"""CYCS""",86
"""GNG4""",89
"""ESPN""",1301
"""RNF113A""",213
"""LEP""",140
"""ST6GALNAC1""",611
"""TLR5""",689
"""ANP32B""",177
"""PSG1""",866
"""SENP5""",542
"""ZNF774""",503
"""MIR6838""",1
"""SRR""",283
"""SKI""",738
"""LINC02546""",2
"""LINC02267""",1
"""XKR8""",327
"""F8""",1968
"""STK3""",491
"""USP2-AS1""",1
"""LINC02744""",8
"""SCML1""",151
"""SUPT4H1""",114
"""DEFB108A""",1
"""GCSAM""",201
"""LINC00654""",1
"""KIF13A""",1511
"""MIR1182""",1
"""KCNIP1-OT1""",1
"""GPR89B""",262
"""ZNF112""",838
"""PLEKHA5""",1204
"""MAPK3""",367
"""ZNF578""",744
"""KCNH5""",904
"""LINC01398""",1
"""LINC00668""",1
"""CFHR3""",406
"""NAT9""",326
"""CYP4F24P""",1
"""MYO15B""",3016
"""SYN3""",565
"""DENND2A""",1001
"""LINC02643""",1
"""FUNDC1""",94
"""LINC02027""",1
"""HCG21""",1
"""MIR5091""",1
"""BNC2""",1203
"""SCX""",113
"""TBXT""",464
"""PLOD1""",797
"""LINC01344""",1
"""FEM1B""",348
"""MIR548AE1""",1
"""MIR500A""",1
"""EPHA5-AS1""",1
"""LINC02417""",1
"""BRAT1""",1052
"""KCNK3""",328
"""ATAD3A""",740
"""NPIPB2""",545
"""PPP1R14B""",148
"""SCARNA13""",1
"""BAALC-AS2""",2
"""ADD1""",796
"""SCAANT1""",1
"""SLF1""",928
"""ZNF433""",777
"""HERC1""",3577
"""IKBKB-DT""",1
"""SBF1""",2242
"""UPP1""",356
"""TNKS1BP1""",1732
"""SMUG1""",395
"""MIR3160-1""",1
"""OR8K5""",409
"""MIR3064""",1
"""RGPD6""",126
"""GPRASP1""",976
"""PCED1A""",428
"""PACSIN3""",433
"""ANGEL2""",482
"""COPZ2""",259
"""AIFM1""",447
"""PDE12""",515
"""SYNC""",472
"""XRCC1""",645
"""CCDC62""",615
"""XYLT2""",779
"""OR7G3""",312
"""KLHL20""",376
"""CD14""",406
"""PLAC9P1""",1
"""WAC""",727
"""OR5AC2""",391
"""SAMD12""",217
"""POLN""",847
"""FGF10-AS1""",1
"""RTL8C""",58
"""SNORA92""",1
"""LINC01015""",3
"""MAPK8IP1""",662
"""OR4K1""",543
"""ARHGAP45""",1356
"""TIMD4""",435
"""RDH11""",306
"""COLCA1""",8
"""KRBOX4""",169
"""LINC01694""",1
"""HELQ""",956
"""RUNDC3A""",339
"""RGP1""",350
"""TTC38""",555
"""ANK3-DT""",2
"""PSD2""",757
"""ZCCHC17""",304
"""MEIS1-AS3""",1
"""MIR553""",1
"""TEX261""",132
"""RAB41""",157
"""LINC02191""",2
"""MIR6822""",1
"""CYP1A2""",544
"""IL36G""",165
"""PEX1""",1124
"""MIR30E""",1
"""CORT""",132
"""MRPS9-AS1""",1
"""UGT1A4""",627
"""ZNF878""",494
"""SMPDL3A""",439
"""LY9""",795
"""C22orf15""",225
"""BATF""",119
"""PDCD4-AS1""",1
"""B4GALT6""",307
"""SGMS1-AS1""",1
"""SNAP25-AS1""",1
"""C4orf46""",119
"""CRTAM""",376
"""LINC00691""",1
"""SNORD94""",1
"""SRI""",209
"""NELFB""",527
"""NANOS2""",153
"""BCHE""",854
"""SEC24B-AS1""",1
"""PENK""",501
"""CEP72""",735
"""MIR299""",1
"""OR7C1""",281
"""ZPBP2""",311
"""FOXP3""",306
"""MARCHF7""",692
"""GSDME""",617
"""ZNF506""",474
"""LINC01737""",1
"""KIRREL3-AS3""",2
"""KLF10""",402
"""HSPB3""",162
"""GAGE12I""",1
"""PFKFB3""",621
"""CLDN11""",154
"""LINC00853""",1
"""TXNIP""",481
"""RTN4R""",528
"""SMIM15""",66
"""CLK2P1""",1
"""TASOR""",1282
"""GPR45""",361
"""LINC00383""",1
"""GINM1""",276
"""SNORD103C""",1
"""LINC02726""",2
"""SNTG2-AS1""",1
"""ADAMTS5""",1009
"""SPATA7""",721
"""REEP5""",271
"""NDRG1""",640
"""STX8""",256
"""DAPK1-IT1""",1
"""MIR373""",1
"""SNORA31""",1
"""LINC01611""",1
"""LYRM2""",145
"""MIR24-2""",1
"""SCARNA8""",1
"""MIR7111""",1
"""OR9I1""",287
"""L3MBTL4-AS1""",1
"""GALNT4""",514
"""IKZF3""",447
"""PHF12""",899
"""SLC1A3""",431
"""USP17L5""",121
"""SOWAHA""",578
"""SAG""",476
"""PGAM5""",275
"""MIR6882""",1
"""EGR1""",505
"""STRBP""",440
"""STX4""",382
"""SLC38A1""",434
