n.id,numberOfConnectedEdges
"""NAV2-AS5""",1
"""C20orf141""",165
"""PSMF1""",339
"""LINC02179""",1
"""CHAC2""",225
"""TMPRSS5""",555
"""USP9X""",1067
"""PSIP1""",524
"""ZNF503-AS1""",4
"""MIR6760""",1
"""KRT28""",476
"""RPP38""",310
"""DYNLT4""",266
"""GTF2H2C""",147
"""IL20RB-AS1""",2
"""DDX4""",605
"""STMN2""",136
"""SMIM7""",152
"""TIMM10""",67
"""TNS2""",1351
"""PRSS21""",455
"""TEAD3""",347
"""IL2RA""",286
"""AP1S2""",99
"""FUT4""",589
"""REXO2""",197
"""BUD23""",381
"""PCDH10""",1236
"""SLIT3-AS1""",1
"""VSIG4""",447
"""ERAP2""",941
"""PDLIM2""",756
"""MIR3662""",1
"""FBXO39""",437
"""PIK3R2""",780
"""LEF1-AS1""",2
"""DNAJC19""",108
"""ARHGAP4""",827
"""GPR101""",291
"""WDR17""",1337
"""SNORD115-38""",1
"""CSNK1E""",601
"""HIF1A-AS3""",1
"""ZNF8""",492
"""ERAS""",127
"""CYP2A7""",706
"""ZNF148""",524
"""MIR4286""",1
"""LINC01101""",1
"""SLC35E2A""",7
"""FAM222A""",437
"""UBE3C""",848
"""CYP2D6""",796
"""UTP14A""",476
"""TCF23""",236
"""SERPINA2""",158
"""PAX6""",724
"""CIB4""",202
"""MEMO1""",227
"""LYPD2""",148
"""CBX5""",104
"""CFDP1""",343
"""MIR1272""",1
"""MOB1A""",121
"""GLYATL2""",360
"""MIS18A-AS1""",1
"""LINC00430""",1
"""LINC02605""",1
"""VIM-AS1""",2
"""BTF3L4""",112
"""LINC01061""",1
"""ALDH1A1""",383
"""ATP6V0E1""",77
"""CT45A8""",21
"""INMT""",311
"""FAM226A""",1
"""ARL4A""",163
"""TPRN""",746
"""PCDH19""",937
"""TRBV11-2""",1
"""C9orf116""",188
"""MIR885""",1
"""CKAP4""",577
"""PCBP3""",436
"""LINC01545""",2
"""PPP1R15A""",763
"""LINC00373""",1
"""MAGT1""",232
