source,target
14821033,14336682
14821036,12915567
14821038,14502197
14821039,13282600
14821041,13216916
14821042,13170331
14821043,13403627
14821046,14001893
14821047,12980313
14821049,14026333
14821050,13596651
14821051,13852712
14821052,14290124
14821053,13938952
14821056,14150707
14821058,14358296
14821062,14528067
14821065,14138202
14821066,13964153
14821069,13118247
14821070,13632786
14821073,14517701
14821074,13302242
14821078,14421500
14821080,14526468
14821081,13774078
14821083,13965533
14821084,13803774
14821085,14578060
14821086,13173488
14821088,14551883
14821097,14029273
14821099,12850557
14821101,13887718
14821102,12909547
14821103,13411712
14821104,13313194
14821105,14344755
14821114,14480697
14821116,13688674
14821117,13084804
14821121,13724273
14821123,13550376
14821126,12929936
14821127,12930543
14821128,13142260
14821130,13515947
14821131,13416041
14821134,12962196
14821136,13797204
14821137,13026450
14821138,13877836
14821139,13903742
14821141,13310219
14821142,13241673
14821143,13831832
14821145,13253429
14821146,14066574
14821148,13438590
14821149,12909547
14821151,14238067
14821159,13630567
14821161,14495391
14821162,14038729
14821168,13766893
14821169,13048894
14821170,13934639
14821172,14517701
14821175,13822847
14821178,12997012
14821179,13746099
14821181,13032940
14821182,14375056
14821185,13615526
14821188,13383869
14821189,13997342
14821190,13963455
14821191,13674831
14821192,14529013
14821195,13742992
14821197,14204004
14821198,14558493
14821199,13880085
14821202,14515867
14821203,14498509
14821204,14204004
14821206,13996513
14821207,12984147
14821208,14547264
14821209,14194765
14821210,13407326
14821213,13533259
14821214,13645876
14821215,14578993
14821218,13409339
14821222,14583551
14821223,14234150
14821224,14215180
14821226,14089913
14821227,13227839
14821228,14421500
14821231,13858838
14821232,13485847
14821233,13207776
14821235,14400580
14821237,13353100
14821238,14100335
14821241,13963455
14821242,14275959
14821246,14474844
14821247,13530937
14821248,13958272
14821253,14432543
14821256,13037603
14821258,13871251
14821259,13821643
14821260,13133341
14821263,14083492
14821264,13243915
14821265,13053290
14821266,13308111
14821268,12962196
14821269,13869298
14821271,13184283
14821274,13065108
14821276,13969352
14821277,13893395
14821278,13259084
14821280,14398609
14821281,13953903
14821282,13576295
14821285,13497511
14821287,13674831
14821288,14439396
14821289,13502334
14821290,13034289
14821291,14456672
14821292,12910534
14821293,14390197
14821294,14499243
14821296,14163178
14821297,14420768
14821302,13869298
14821306,14418238
14821307,13198425
14821313,14069640
14821315,14011368
14821317,13030969
14821320,13192246
14821323,12867712
14821325,12984917
14821329,13916438
14821331,13029287
14821332,13065108
