source,target
879620,15070830
1183068,15070891
956066,15070969
1373668,15071026
1263430,15071289
903834,15071417
692173,15071446
1160120,15071463
1164164,15071668
1555477,15071717
1368647,15071720
1455929,15071745
758894,15071834
1562090,15072060
1424199,15072234
1331670,15072374
1076995,15072526
985437,15072561
1012031,15072578
1171316,15072976
1367179,15072982
1614028,15073064
1312190,15073076
1208508,15073125
759482,15073167
1663411,15073317
747990,15073388
948128,15073603
882155,15073686
1624936,15073702
965073,15073912
1082794,15074259
1337025,15074480
1017406,15074554
952931,15074659
1568072,15074900
1173269,15075069
912504,15075114
1145408,15075151
1025774,15075245
1283183,15075345
1487575,15075351
1274236,15075386
901189,15075443
1264941,15075470
1179840,15075639
1078899,15075819
911567,15075929
1041362,15076008
704635,15076015
970803,15076032
1145280,15076039
1133181,15076092
1652563,15076140
733354,15076162
1555265,15076261
794831,15076448
1312840,15076459
1274672,15076676
1629594,15076931
950917,15076961
1191316,15077037
1460600,15077054
965865,15077211
892826,15077237
1112725,15077261
1510791,15077572
1256602,15077573
1346860,15077575
740012,15077587
807429,15077691
1402684,15077703
1116028,15078055
1122189,15078661
779537,15078719
1289435,15078782
892826,15078879
995761,15079012
1637956,15079064
1256343,15079101
1107224,15079229
793414,15079251
1404860,15079267
725612,15079368
1513217,15079411
1302996,15079490
855723,15079820
1622696,15079877
1029668,15079915
818035,15079943
1039275,15079963
833801,15080046
1463394,15080177
795408,15080249
1205424,15080251
1260022,15080319
1330448,15080376
789254,15080485
818431,15080574
1302816,15080608
1309756,15080651
764712,15080696
1434192,15080823
1611310,15080849
950181,15080853
1486652,15080975
1149621,15081031
1510755,15081100
1219273,15081170
1104821,15081265
917240,15081406
1614621,15081413
1104383,15081489
705017,15081558
1506554,15081688
1276862,15081724
1609194,15081725
1390345,15081735
711103,15081736
943585,15081803
1239439,15081827
1079392,15082162
1413944,15082191
1265426,15082307
714655,15082334
1175066,15082405
1109343,15082513
691126,15082655
1523682,15082801
1439751,15082912
1429105,15083005
770969,15083047
691017,15083284
1172774,15083411
720629,15083449
1237073,15083580
1084668,15083684
1187696,15083757
945039,15083832
1185077,15083897
1261691,15084037
1596485,15084082
1303434,15084189
1368137,15084285
795408,15084352
1147687,15084870
1335309,15085105
1576713,15085228
1150520,15085312
1111679,15085428
1134108,15085523
1316980,15085723
1269644,15085844
788750,15085855
834778,15086290
1539820,15086362
1110941,15086386
909395,15086425
996322,15086477
1391507,15086517
846917,15086523
1354239,15086525
1136975,15086595
806971,15086704
1150616,15086725
808254,15086727
1427090,15086820
713944,15086869
1169139,15086990
1559577,15087104
1398256,15087180
796322,15087255
860689,15087269
1207376,15087340
1404502,15087377
832701,15087614
1303483,15087616
1189351,15087802
1338212,15088169
1496005,15088342
1469661,15088497
1034322,15088506
954939,15088698
877659,15088734
1037233,15088864
1235149,15088866
1042362,15089352
1135639,15089364
1100308,15089439
716281,15089555
1058751,15089671
1655168,15089736
969520,15089978
1546637,15089993
1413113,15090057
1324257,15090132
1247707,15090163
1302797,15090192
1457584,15090482
1566586,15090484
819369,15090488
1373922,15090572
928203,15090705
1500703,15090765
781593,15090843
1192577,15090849
1340218,15090884
1169457,15090944
768537,15091010
1184113,15091051
944936,15091182
1462892,15091221
1628593,15091258
1034223,15091651
1230690,15091784
1611236,15091822
1113364,15091930
950379,15092198
1429291,15092270
1171164,15092322
1396561,15092534
1165859,15092559
922273,15092597
1274323,15092648
722411,15092692
700190,15093215
1047075,15093377
1022511,15093538
986902,15093544
1396357,15093555
1062832,15093589
1021919,15093590
1329197,15093592
1532618,15093730
915786,15093794
1554909,15093867
1441395,15093883
1274938,15093999
1117505,15094069
877659,15094100
1008103,15094310
953117,15094462
1262402,15094493
846188,15094587
1533704,15094590
1584130,15094690
1313471,15094740
1087415,15094793
1113397,15094932
1609323,15095054
691548,15095177
1070092,15095179
1165470,15095261
1392678,15095416
1508798,15095549
1437177,15095551
748073,15095576
1001186,15095662
1280894,15095710
1625947,15095797
1349875,15095905
1047041,15096234
1542330,15096323
898546,15096327
673041,15096413
1428104,15096429
1104150,15096489
708928,15096493
1043941,15096675
1089006,15096759
683228,15096810
1239922,15096940
855205,15096990
890346,15097061
732327,15097109
1117956,15097245
913619,15097354
1538370,15097540
1076857,15097764
1424062,15097780
778861,15097830
1402684,15097942
1397030,15097945
939934,15098151
778249,15098302
868378,15098531
666888,15098619
1107755,15098742
1467012,15098817
1652341,15098840
677133,15098918
1060759,15098991
733505,15099047
881802,15099234
1265282,15099517
998126,15099550
750570,15099609
1153018,15099692
1402045,15099765
1562682,15099773
1035935,15099905
1059680,15099960
738837,15100147
1366458,15100404
1153018,15100452
1232577,15100557
800716,15100766
1288022,15100813
1147756,15100835
1411210,15101119
1044489,15101404
1023605,15101477
1435690,15101486
1091805,15101517
1064224,15101563
754477,15101588
990858,15101703
973942,15101740
796278,15101824
737327,15101838
768350,15101951
1548511,15102038
1638380,15102058
1186351,15102149
685872,15102194
1477498,15102198
876352,15102302
1513217,15102679
1313541,15102704
1487575,15103139
806554,15103216
1400633,15103246
1209745,15103412
1141186,15103454
756387,15103581
721904,15103658
1218889,15103663
1037279,15103764
995884,15103816
1309232,15104075
1442477,15104081
1014634,15104160
1622225,15104586
1181927,15104690
1056994,15104728
1513366,15104795
1437953,15104991
1588350,15105036
1546754,15105113
1135618,15105127
703792,15105410
879634,15105417
1651032,15105453
923543,15105474
1337407,15105509
1249825,15105514
1357589,15105661
868652,15105763
1032461,15105902
1379488,15105933
1147406,15106078
859275,15106214
1624089,15106257
1542186,15106421
1381656,15106477
860441,15106495
1506068,15106521
1643296,15106582
1218889,15106687
1327435,15106784
946991,15106891
827477,15106957
1592281,15106980
1204773,15107036
1395852,15107066
1627689,15107419
732208,15107642
1614017,15107693
1218872,15107719
1195895,15107792
1041563,15107794
1572903,15107851
1645761,15107919
1349581,15108065
1277514,15108174
1210622,15108213
1351947,15108250
667184,15108265
840143,15108396
1022020,15108518
1383202,15108625
1233950,15108856
1352687,15108910
1116028,15109112
1021531,15109123
1612908,15109450
671747,15109508
1292006,15109609
721762,15109616
1406695,15109672
699947,15109690
1360801,15109911
1630718,15109941
1393165,15109945
1385768,15110038
997771,15110153
1065591,15110272
951480,15110346
1134523,15110400
695428,15110736
1567368,15110795
926227,15110829
1618580,15110837
995448,15110839
1038867,15110884
1354487,15110905
1039714,15110918
1473668,15110919
1641964,15110941
978787,15111000
1017021,15111073
1469177,15111087
1042128,15111188
697950,15111308
1532209,15111387
1326599,15111634
776991,15111663
772288,15111878
1380832,15111895
1446947,15112013
670094,15112162
1357710,15112174
1158541,15112329
851658,15112332
1204993,15112354
713930,15112386
1521923,15112634
739625,15112698
764800,15112793
1529684,15112809
734592,15112976
877659,15113024
711279,15113309
940992,15113495
1347398,15113513
669095,15113628
1078176,15113707
721762,15113711
937548,15113780
1218305,15114023
909352,15114402
1077792,15114630
765822,15114666
777958,15114986
795510,15115085
1047113,15115092
1379465,15115093
1110446,15115125
1004697,15115298
709716,15115408
1189060,15115421
861637,15115663
1351045,15115826
1578903,15115849
987581,15115864
851108,15115865
1449764,15115985
826524,15116152
1093928,15116268
1552908,15116350
1459337,15116431
1065437,15116484
785938,15116529
1656462,15116533
1652679,15116819
994087,15116829
1196936,15116866
758637,15116881
832911,15116953
1056994,15117073
736329,15117074
1273361,15117291
1065437,15117351
1143634,15117550
1021681,15117574
1420049,15117617
1499520,15117648
1066458,15117902
1211761,15117978
1614664,15118053
1642316,15118096
1300938,15118186
1125537,15118310
1063528,15118347
1649878,15118401
1327435,15118469
1473177,15118659
1442799,15118707
1095245,15118770
1208766,15118843
925696,15118859
1289380,15118890
948793,15118942
1123924,15118963
1502715,15119080
900155,15119081
1388711,15119095
715713,15119119
1117562,15119232
1471265,15119288
874411,15119331
772252,15119520
1053109,15119565
730267,15119774
1234794,15119964
768564,15120014
1300264,15120098
672624,15120159
1014821,15120195
848872,15120210
883184,15120634
1613328,15120639
1445158,15120813
1405635,15120815
1040498,15120818
1650864,15120874
1597941,15120972
840690,15120996
1325531,15121140
868881,15121412
1301092,15121442
1541022,15121535
1547097,15121559
1545150,15121723
1197578,15121748
1170187,15121773
1445306,15121774
1186950,15121816
1358912,15121892
1078981,15122094
1507315,15122592
1605477,15122594
1194345,15122612
749592,15122734
1360355,15122793
1056218,15122904
924760,15122991
1038587,15123086
1032958,15123167
1463139,15123230
1510977,15123240
1216386,15123512
1058751,15123569
1100740,15123615
1189351,15123634
1303833,15123669
1419492,15123910
1019574,15124084
1446365,15124156
1010415,15124440
683066,15124522
1032836,15124524
1346926,15124593
1405962,15124615
1296246,15124638
1580533,15124705
1419326,15124886
1171606,15125186
986771,15125211
1384217,15125259
1485665,15125285
1466849,15125375
1431771,15125385
954104,15125422
1045957,15125476
860660,15125595
1304192,15125667
1244478,15125714
1617990,15125811
807954,15125842
1173873,15126024
1589660,15126043
666246,15126232
935088,15126324
1371571,15126449
1614688,15126583
1584114,15126785
1302037,15126828
859559,15127017
676316,15127058
1547907,15127085
1197831,15127168
1249060,15127364
849632,15127504
892826,15127625
1404293,15127644
1240298,15127805
810179,15127815
801387,15127838
1002729,15127851
1144535,15127870
837230,15127881
1257131,15127929
1309910,15127991
1173819,15128013
922932,15128059
1185127,15128353
1066439,15128457
1325353,15128551
1181534,15128677
1082521,15128759
1489192,15128777
748101,15128939
1026763,15129045
716884,15129331
1631336,15129339
1413691,15129363
1449132,15129471
1141004,15129531
1422507,15129601
922658,15129670
1056743,15129770
1321291,15130387
1061403,15130398
1274509,15130430
806573,15130618
915255,15130724
923543,15130786
1534600,15130899
1131553,15130931
1593613,15131036
703193,15131070
859498,15131142
1416170,15131177
1126164,15131215
1621830,15131230
871373,15131350
1642428,15131404
1058141,15131440
1217388,15131474
1174498,15131537
1152955,15131647
1172192,15131671
1621703,15131843
1433293,15132058
738901,15132061
1568816,15132106
1368457,15132333
1598528,15132400
892826,15132513
1604150,15132527
1558069,15132696
1121065,15132785
1141511,15132845
1234586,15132934
1284412,15132968
819165,15133069
1615839,15133080
940992,15133229
853374,15133250
1387542,15133306
845478,15133507
1132999,15133508
1229767,15133518
1638260,15133599
1599123,15133665
1388465,15133785
950506,15133793
1056185,15133889
701943,15134016
1173639,15134085
749332,15134095
1278313,15134232
1300821,15134281
969749,15134391
728610,15134505
1132327,15134884
1349758,15135060
1603804,15135206
1222495,15135291
1074356,15135301
1657358,15135354
1373268,15135428
978787,15135558
1038196,15135668
1323503,15135772
1092518,15135897
859296,15135957
1594390,15135997
777177,15136014
1232894,15136072
743565,15136230
1595427,15136321
1413693,15136347
1007351,15136395
991693,15136486
1459980,15136509
1665121,15136544
1029810,15136762
1425933,15136988
1660159,15137095
1299101,15137180
1458922,15137234
869121,15137239
670508,15137319
946419,15137344
1024093,15137365
908245,15137433
1284639,15137493
1114630,15137518
1506260,15137528
1248382,15137531
1122453,15137583
1151704,15137599
904779,15137687
1483731,15137691
714366,15137798
750949,15137853
1190844,15137935
698412,15138022
1305288,15138027
1204269,15138029
1400529,15138031
1004583,15138121
1170187,15138250
1246288,15138319
913619,15138492
1477259,15138639
961191,15138665
1553425,15138889
1034322,15138947
1062802,15138984
1239582,15138999
1136277,15139013
1232024,15139058
793887,15139093
1538601,15139237
913619,15139492
825286,15139544
1127342,15139556
1198636,15139579
1163559,15139622
668836,15139629
671788,15139736
1218889,15139777
968361,15139836
1153649,15139876
1173480,15140049
1578108,15140266
1432091,15140585
1542241,15140601
839368,15140622
705911,15140773
1279676,15140860
1035537,15140868
876049,15140905
1590859,15140915
1139869,15140959
1564395,15140962
1657468,15141112
780854,15141113
1623664,15141170
1041692,15141214
1000715,15141362
1349871,15141418
826180,15141531
1655008,15141532
1337308,15141694
1606428,15141722
893913,15141775
1344021,15141792
1507944,15141815
1112981,15141849
1184608,15141960
1589533,15142183
700372,15142337
1116242,15142368
761629,15142447
1634189,15142548
1260389,15142577
1340946,15142706
764823,15142707
1147687,15142777
672506,15143003
722333,15143060
1654963,15143062
1185886,15143068
1264949,15143099
1119092,15143252
788546,15143276
949388,15143284
1265319,15143323
1145145,15143339
1588747,15143380
956898,15143381
1088758,15143504
1563048,15143822
1259588,15143984
1077635,15144030
820325,15144100
683889,15144143
1481262,15144194
975603,15144234
957067,15144325
759303,15144446
730039,15144467
1649524,15144516
1057618,15144756
1306903,15144855
907890,15145150
1539897,15145388
925696,15145525
937949,15145526
874055,15145644
1573930,15145797
1484037,15145821
1623775,15145827
903900,15145840
1063268,15145878
1219983,15145910
1078810,15145928
1512134,15146070
995976,15146132
1298393,15146302
1551342,15146312
1126164,15146326
751185,15146337
1014145,15146448
1522000,15146650
1012010,15146723
1338181,15146839
1479794,15146874
908381,15147221
686761,15147303
976046,15147330
1058904,15147540
1528711,15147788
1337628,15147885
1261652,15147904
721859,15148065
1170187,15148396
942590,15148571
1338640,15148731
1658566,15148784
735200,15148816
1013310,15148817
957235,15148832
1107112,15148886
1367097,15148946
1442088,15148974
1537456,15148995
1077466,15149104
913619,15149197
1550469,15149328
1297122,15149361
1041368,15149373
1640257,15149454
1584143,15149556
1136792,15149694
798845,15150315
1610633,15150374
1211996,15150377
1145002,15150493
716392,15150525
1167902,15150657
902319,15150708
1151102,15150795
925746,15150881
1445289,15151136
1631221,15151266
1633591,15151386
1394319,15151489
946998,15151867
690114,15151895
1563592,15151902
1232645,15152009
1037407,15152021
970734,15152028
1490542,15152065
1109343,15152261
1111244,15152280
1245524,15152290
1095186,15152676
795510,15152701
1217159,15152726
1013431,15152783
750029,15152786
1431815,15152901
731988,15153100
986771,15153282
721695,15153373
921415,15153391
768350,15153508
674505,15153557
1442173,15153659
839124,15153674
1171206,15153686
738178,15153759
692168,15153855
735200,15153932
819206,15154113
716178,15154143
975085,15154172
1583173,15154376
822681,15154521
716027,15154767
1067469,15154860
1518189,15154861
1197578,15154879
961285,15154933
1323278,15154988
1004853,15155057
873270,15155257
793887,15155265
909583,15155532
1316527,15155614
1256654,15155716
1446409,15155796
966723,15155904
1616893,15155933
915255,15156089
947574,15156179
1126330,15156332
1640203,15156391
