source,target
83648,1711759
83649,1715925
83651,1748690
83653,1953921
83655,2007989
83656,1931187
83661,14935181
83662,14902688
83663,1719652
83668,1982205
83714,1723606
83715,1720135
83718,1707423
83721,1721774
83749,1743405
83750,1689728
83756,1948752
83758,1705883
83759,1724664
83791,1990717
83792,1776480
83793,14890836
83796,1782752
83797,1740914
83803,1692711
83805,1689298
83812,1980383
83816,1802553
83820,1788427
83828,1762653
83831,1700766
83846,1992171
83847,1802623
83848,1716830
83853,1788722
83855,1703632
83856,1700901
83858,1928829
83859,1751513
83866,1771463
83872,1707246
83896,1726131
83897,1871919
83898,1789196
83900,14891738
83902,1729426
83905,1915621
83907,1735913
83912,1737694
83913,1709411
83919,1802524
83920,1802523
83924,1723260
83925,1734255
83929,1788703
83935,1761948
83936,1749226
83940,1692540
83944,1773931
83951,1719732
83959,1869935
83984,1788364
83998,1752222
84003,1719369
84004,1759812
84008,1759894
84011,1727400
84012,1739129
84014,1764452
84017,1697476
84022,1990922
84023,1696687
84029,2007286
84033,1927318
84040,1964312
84042,14935015
84048,1788649
84051,14891074
84057,14916561
84063,2019008
84088,1863331
84091,14925147
84094,1939119
84115,1938604
84116,1779274
84117,1753363
84120,1926872
84123,1694796
84125,1802624
84126,1764662
84127,1788489
84150,1768400
84151,1865240
84152,1919147
84160,1722277
84161,1772522
84162,1788169
84192,1730807
84193,1755761
84195,1962050
84196,1929563
84201,1930190
84202,1990334
84203,1788354
84205,2007210
84217,1760686
84219,1788435
84225,14932991
84226,1948680
84227,1773540
84264,1814204
84270,1762323
84281,1770627
84284,1760296
84285,1765832
84288,1702271
84289,1768063
84293,14915141
84302,1743767
84304,1865225
84305,1715845
84309,1738619
84310,1736981
84319,1929337
84320,1708559
84321,1902843
84326,1765528
84328,1699674
84329,1733399
84330,1717432
84339,1846007
84341,1951624
84350,1730358
84367,1873823
84373,1739424
84376,1714420
84377,1720439
84378,1954357
84385,1930049
84386,1726754
84387,1781043
84415,1907410
84468,1756857
84479,1714903
84480,1882119
84481,1747845
84482,1750360
84568,1752331
84568,1737233
84569,1729778
84572,14923375
84579,14891603
84579,14906622
84585,14890466
84588,1882065
84591,1749322
84592,1932401
84594,1731500
84598,1749201
84600,1918699
84601,1771755
84604,1763045
84605,1739679
84606,1765321
84608,1729832
84609,14891876
84609,1714350
84610,1724802
84615,1764744
84616,1806550
84627,1909986
84634,2021131
84638,1914304
84639,1693707
84660,1918730
84680,14887696
84681,2003752
84684,14901372
84689,1788540
84740,1729232
84751,14889370
84753,1719536
84754,1933692
84754,1910648
84754,1756137
84757,1925908
84760,1743096
84762,1759577
84762,1869329
84762,1945798
84762,1869318
84764,2006307
84765,1834414
84765,1730526
84765,1871802
84773,14907693
84775,1984802
84776,1739175
84799,1936691
84806,1750095
84808,1948176
84809,1719643
84816,1749636
84817,14950232
84818,1692902
84839,1773381
84845,1778094
84849,1943191
84879,1933412
84942,1725787
84943,1928720
84945,1796019
84946,1949298
84947,1949299
84952,2003259
84953,14939923
84954,1694847
84957,1952966
84957,1701474
85067,1933220
85110,1751517
85115,1693909
85118,1724035
85386,1849119
85387,1953911
85390,1875950
85391,1694002
85392,1909231
85405,1720708
85410,14926229
85414,1754959
85416,1942688
85419,2018036
85420,1716356
85436,1764414
85437,1762471
85445,1710505
85447,1750205
85448,1741814
85454,2015897
85493,1914592
85494,1778814
85700,1977835
85767,1772726
85767,1725939
85775,1699793
85781,1789281
85830,1944519
85902,1695289
86074,1764121
86189,1702833
86193,1990855
86289,1973858
86569,1984936
87040,1942862
87042,14933958
87045,1764626
87050,1714572
87055,1755014
87059,1712396
87060,1792427
87063,1769431
87066,1913556
87067,1753326
87068,1724959
87069,14920907
87070,1758030
87071,14920200
87072,14933385
87074,1694426
87075,1908963
87082,1944862
87082,1818610
87082,1841348
87082,1775227
87082,1835033
87082,1875222
87082,1928021
87104,1695873
87167,1781102
87167,14909042
87732,1989840
87844,1764252
88009,14903466
88009,14890867
88010,1701095
88040,1759975
88186,1945408
88414,14925735
88415,14908599
89126,14952974
89154,14962285
89155,1742870
89156,14951041
89157,1912439
89158,14919560
89159,1912579
89160,1748726
89162,1707580
89163,2015016
89164,2025991
89165,1979372
89166,1693037
89168,14918306
89170,1736827
89171,1918811
89173,14950420
89174,1944121
89175,14898620
89176,1809607
89178,1903853
89202,1735864
89204,1775708
89205,2020845
89493,1916632
89495,1712576
89495,1775027
89496,1739625
89504,1722324
89506,1727594
89513,1914254
89514,1728100
89515,1778914
89519,1721605
89527,1833594
90119,14895682
90169,1736576
90235,1727825
90235,1727891
90235,1909084
90235,1909083
90235,1769591
90235,1737728
90235,1738870
90247,1910493
90250,1742484
90251,1709734
90252,1697734
90253,1771258
90254,14911223
90257,1773810
90258,1774652
90260,1701758
90261,14897697
90262,1703398
90263,14903728
90265,1722219
90266,1718188
90268,1758873
90269,1916278
90270,1795514
90271,1706911
90272,2004419
90273,1718312
90274,1764021
90275,1979356
90276,1717103
90277,14898790
90278,1772300
90281,1809037
90282,1978762
90283,1783020
90285,1733278
90288,1746751
90289,1725261
90291,1758596
90292,14892110
90302,14892203
90303,1773472
90305,1773710
90308,1809527
90309,1695940
90312,1743551
90314,1749315
90320,1808902
90321,1876305
90330,1773311
90331,1716005
90332,1708113
90333,1738820
90335,14891312
90342,1703481
90344,1719012
90345,1757216
90346,1760206
90348,1688644
90349,14913437
90350,1722826
90351,14912089
90352,1691506
90354,1869938
90355,1908840
90356,1786255
90357,1914384
90358,1980492
90361,1698825
90362,1761307
90366,1916230
90367,1746863
90368,1744947
90370,1698888
90372,1756705
90373,14891754
90374,2018016
90376,1689491
90380,1871110
90384,1709640
90386,1762085
90387,1714540
90389,1720371
90392,14892152
90393,1713194
90395,1719504
90397,1748073
90399,1914183
90400,1760876
90402,1733913
90403,1914416
90405,1786674
90406,1695052
90408,1769691
90413,1726985
90414,1705622
90417,1727224
90417,1770132
90421,1766357
90422,1703128
90423,14895890
90424,1699736
90426,1746489
90427,1738743
90428,1696094
90429,1752578
90437,1991281
90438,1745049
90440,1698801
90444,14955436
90448,1753081
90450,14892307
90452,1762813
90456,1946656
90458,1773892
90459,1746370
90463,1747053
90465,1692512
90466,1719164
90467,1976854
90468,1763534
90470,1733184
90471,1720286
90472,1738739
90473,1699617
90474,1882792
90479,1916626
90480,1918888
90481,1758223
90483,1718500
90484,1733583
90486,1725968
90487,1884765
90488,1690728
90490,1871099
90496,1795832
90498,1908804
90502,1713559
90503,1731589
90505,1792773
90506,14960949
90507,1769930
90508,1910593
90509,14920002
90510,14910969
90513,1719490
90515,1758193
90517,1693400
90518,1737390
90519,1763905
90521,14888542
90522,1761141
90523,1755780
90524,1872467
90526,1952362
90527,1777101
90529,1722058
90530,1763484
90534,1702802
90536,1734062
90539,1876934
90540,14923272
90543,1745765
90545,1739169
90546,1711145
90547,1795396
90549,1909276
90550,14892126
90551,1724230
90552,14939712
90554,1782557
90556,1916209
90557,2014870
90558,1868957
90560,1805974
90561,1706445
90562,1739415
90563,1767073
90564,1805956
90565,1778422
90567,1731797
90577,1910523
90579,1696512
90582,1708192
90583,14960411
90586,1721316
90587,1715985
90588,1734186
90590,1871592
90591,1690909
90592,1873765
90593,1767543
90595,1760205
90596,1724532
90598,1945786
90599,1705717
90600,1804600
90601,1910542
90602,1925662
90603,1765465
90605,14908968
90607,1746819
90608,1712574
90609,14910150
90611,1748752
90612,14895453
90613,1740799
90614,1728386
90618,1779971
90619,1779113
90622,1748767
90624,1918469
90625,1731421
90626,1717605
90635,1737543
90636,1711903
90637,1722548
90639,1761685
90640,1727212
90641,1704275
90642,1726249
90643,1693244
90644,1754380
90646,1720826
90647,1875476
90650,1737841
90651,1763185
90652,1709656
90653,14912090
90654,1735696
90655,14893168
90657,1740619
90658,1717804
90659,14892114
90661,1913454
90664,1720398
90669,2003112
90670,1739351
90671,1733132
90672,1701882
90673,1719783
90676,1809153
90677,1693175
90678,1982123
90681,1746282
90682,1759933
90683,1741964
90684,1751188
90685,1741476
90687,1757444
90689,1727668
90693,1875785
90694,14932413
90698,1761331
90710,1705055
90711,1696436
90715,1740657
90716,1741288
90720,1730818
90725,14926991
90727,1775409
90728,1723941
90733,1713972
90737,1720158
90738,1914261
90740,1912531
90742,1712586
90744,1744327
90745,1711358
90748,1917260
90754,14961246
90755,1766442
90758,1727629
90763,1742574
90764,1795258
90766,1992122
90767,1795811
90772,1787393
90773,1775440
90775,1917318
90781,1740305
90782,1695523
90783,1716402
90785,1769571
90787,2018568
90788,1690690
90793,1730856
90795,1795478
90796,14906545
90799,14909804
90802,1879521
90803,1874578
90807,1741624
90810,14908199
90811,1699180
90812,1799897
90814,1745775
90816,14908125
90817,14897202
90819,1728265
90820,1704262
90824,1908857
90828,1746123
90830,1775841
90831,14951947
90834,1792645
90835,1782693
90836,1749659
90837,1710973
90839,1703450
90841,1770286
90844,1740979
90848,1752677
90849,1753113
90851,1771732
90852,1696224
90853,1743891
90854,1872644
90855,1707068
90856,1776719
90858,1979825
90863,1786265
90866,2018530
90872,1764024
90874,1755786
90875,1916003
90883,1708215
90884,1752629
90885,1716026
90890,1882065
90892,14939717
90917,1916657
90920,1732180
90923,1963339
90924,1762012
90925,1720429
90926,1701440
90933,1879448
90935,1717508
90937,1918922
90938,1985045
90942,1698952
90954,1876130
90956,1762984
90959,1917244
90961,1725559
90962,1761017
90963,1763859
90964,1748467
90965,1810227
90969,14882370
90970,1688595
90971,1692585
90972,1724835
90974,1777216
90975,1960350
90977,1871224
90978,1756358
90980,1771420
90983,1770775
90986,1695974
90987,1727506
90988,1767755
90989,1759317
90993,14963448
90994,1738326
90995,1695065
90996,1954199
90997,1758964
90999,1720748
91001,1716268
91004,1782597
91006,1710196
91007,1917281
91008,1735629
91009,14923768
91010,1738957
91012,2027263
91014,1804765
91016,1767930
91017,14916298
91022,1768482
91024,1792361
91025,14933249
91026,14931706
91027,1775291
91028,1874545
91030,1728932
91035,1944820
91037,1695192
91039,1736342
91040,14935937
91042,14906620
91043,1782575
91045,2018590
91048,1759226
